Bankrupt?, Operating Gross Margin, Pre-tax net Interest Rate, After-tax net Interest Rate, Operating Expense Rate, Current Ratio, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Current Assets/Total Assets, Current Liability to Assets, Current Liabilities/Liability, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Net Income to Total Assets, Liability to Equity, Equity to Liability
1,0.601457213,0.796887146,0.808809361,0.000125697,0.002258963,0.095884834,0.137757334,0.021265924,0.207576261,0.792423739,0.190642959,0.14730845,0.676269176,0.339077007,0.025592368,0.903224771,0.716845343,0.290201893,0.016468741
1,0.610235086,0.797380191,0.809300726,0.000289785,0.006016206,0.093743384,0.168961617,0.012502394,0.171176346,0.828823654,0.182419054,0.056962827,0.308588593,0.329740148,0.023946819,0.931065218,0.795297136,0.28384598,0.020794306
1,0.601450006,0.796403369,0.808387521,0.00023613,0.011542554,0.092318465,0.148035593,0.021247686,0.207515796,0.792484204,0.602805702,0.098162065,0.446027487,0.334776851,0.003715116,0.909903362,0.774669697,0.290188533,0.016474114
1,0.583541129,0.796966968,0.808965598,0.000107889,0.004194059,0.077727295,0.147560516,0.009572402,0.151464764,0.848535236,0.225814869,0.09871463,0.615848369,0.331508979,0.0221652,0.906902159,0.739554525,0.281721193,0.023982332
1,0.598783494,0.797366081,0.80930372,7890000000,0.006022446,0.09692706,0.167460976,0.0051496,0.106509055,0.893490945,0.35838016,0.110194846,0.975006616,0.330726319,0,0.913850197,0.795015873,0.27851379,0.035490201
1,0.590171378,0.796903193,0.808770562,0.00015715,0.002740085,0.078101845,0.137825202,0.014213152,0.180427487,0.819572513,0.214535988,0.139002106,0.733351869,0.335534372,0.003772505,0.903041267,0.710420495,0.2850871,0.019534478
0,0.619949841,0.797011929,0.80896039,0.000398483,0.00467206,0.099866465,0.127939069,0.024441222,0.216101823,0.783898177,0.295221007,0.115920412,0.508088826,0.337392013,0.009347426,0.911441408,0.736619098,0.292504124,0.015663075
0,0.601738278,0.797448808,0.809361528,9000000000,0.00965738,0.104784471,0.17951889,0.005278181,0.108202074,0.891797926,0.447942035,0.087041801,0.755769661,0.329803726,0.005345656,0.935449309,0.815350392,0.278607306,0.034888556
0,0.603612044,0.797413531,0.809338092,0.000168714,0.013498866,0.095209015,0.172158962,0.002266116,0.058590561,0.941409439,0.414645601,0.058059728,0.906707131,0.328092756,0,0.935200209,0.80364729,0.276422514,0.065826497
0,0.599208694,0.797403571,0.809320385,5820000000,0.011474535,0.109873467,0.175657944,0.006354244,0.121292741,0.878707259,0.577189304,0.094563303,0.734899301,0.330409488,0.004950682,0.938289897,0.804194657,0.279387519,0.030800865
0,0.614025858,0.797534994,0.809459697,0.000318116,0.006097329,0.096471086,0.17761104,0.004932564,0.103576503,0.896423497,0.10174523,0.032086803,0.283194069,0.327484654,0.064126528,0.942828956,0.814110614,0.278356432,0.036571691
0,0.623711786,0.79744286,0.80938913,0.000476654,0.00862899,0.095966258,0.171525526,0.004292397,0.094385827,0.905614173,0.218942636,0.047994813,0.47102843,0.328042001,0.017846406,0.932955215,0.804886953,0.277892082,0.04038102
